,postal_code,med_std_living,population,nb_unemployed,labour_force,unemployment_rate,average_tax_revenue,nb_debtors,payeurs,payer_rate,debtor_ratio,dep
0,1000,20777.0,46349.0,3448.977351894335,20258.342291006706,17.02,22960.719046752783,20197,9404,46.5613705005694,43.57591318043539,01
1,10000,16821.0,60928.0,6681.354136429383,27195.720467985917,24.57,19229.23642336809,21796,9913,45.48082216920536,35.773371848739494,10
2,10100,20328.0,18535.0,1807.7084307126956,7611.094196781853,23.75,19424.880414661242,5853,2636,45.03673329916282,31.578095495009443,10
3,10110,23707.0,7405.0,455.54592440065085,3435.61327125393,13.26,30191.32710280373,1176,558,47.44897959183674,15.88116137744767,10
4,10120,22514.0,15924.0,1155.1744561247615,7345.06242178318,15.73,25688.63637374861,3002,1561,51.99866755496336,18.852047224315502,10
5,10130,19179.0,6194.0,400.2728510466311,2700.523652597265,14.82,21603.52587412588,725,333,45.93103448275862,11.704875686147885,10
6,10140,20147.0,5959.0,462.78532691167726,2731.451259397315,16.94,22095.27584204413,812,390,48.02955665024631,13.62644739050176,10
7,10150,22043.0,12809.0,770.2733084866748,5694.8705639794825,13.53,26752.87605674165,1902,913,48.002103049421656,14.848934343040051,10
8,10160,19909.0,2969.0,178.53891211056225,1337.4060356388604,13.35,22762.38120805369,1035,480,46.3768115942029,34.86022229706972,10
9,10170,20603.0,4775.0,284.7013722975538,2276.3243253106507,12.51,25191.628549501147,576,298,51.736111111111114,12.062827225130892,10
10,10180,22694.0,3347.0,143.7396342947253,1592.4362965016676,9.03,30898.722857142857,305,159,52.13114754098361,9.112638183447864,10
11,10190,20866.0,10438.0,645.9513009530061,4646.554500821421,13.9,24368.746365387982,892,466,52.2421524663677,8.545698409657023,10
12,10200,22708.0,10122.0,701.6862074461545,4545.263327099779,15.44,26191.29374798582,1560,802,51.4102564102564,15.411973918197985,10
13,10210,19625.0,3544.0,187.79062138478676,1529.0087852366541,12.28,22277.23017573939,493,237,48.07302231237322,13.910835214446953,10
14,10220,20935.0,4871.0,244.16492469017652,2290.094702294209,10.66,27027.865912762518,463,223,48.16414686825054,9.505235064668446,10
15,10230,18984.0,1561.0,90.0,844.0,10.66,26059.96716826265,298,100,33.55704697986577,19.0903267136451,10
16,10240,20887.0,2241.0,109.18469119285437,1019.2387363371763,10.71,25753.544488711817,239,122,51.046025104602506,10.664881749219099,10
17,10250,21117.0,2360.0,183.75608177714759,1046.1118450533183,17.57,27183.06553755523,357,146,40.89635854341736,15.127118644067798,10
18,10260,20737.0,5241.0,230.83187454268054,2473.025971849097,9.33,24023.489932885903,631,336,53.248811410459574,12.039687082617819,10
19,10270,21867.0,5583.0,267.51934144184935,2724.0935618790313,9.82,28549.999660786976,542,285,52.58302583025829,9.708042271180368,10
20,10280,20433.0,1933.0,108.09045201239515,929.2154017831713,11.63,25164.219165927247,206,114,55.33980582524271,10.657009829280911,10
21,10290,20790.0,2065.0,156.17391604518738,895.3896889130673,17.44,24361.536929460584,279,118,42.29390681003584,13.51089588377724,10
22,10300,23101.0,11653.0,936.1152794867572,5501.414380991657,17.02,25038.11044401005,2675,1428,53.38317757009345,22.955462112760664,10
23,10310,18332.0,2395.0,160.2174802944423,987.7272067953903,16.22,19457.57046979866,333,166,49.84984984984985,13.903966597077243,10
24,10320,21161.0,4320.0,182.22547654601138,2015.1618926223734,9.04,28033.192982456138,365,207,56.71232876712329,8.449074074074074,10
25,10330,18373.0,1037.0,81.05894842554468,446.63496955273285,18.15,21876.65570175439,193,84,43.523316062176164,18.61137897782064,10
26,10340,23459.0,2018.0,80.65093840506225,999.5577472343837,8.07,35641.192458758844,220,97,44.09090909090909,10.901883052527255,10
27,10350,22033.0,2900.0,191.0953671124637,1359.090008818538,14.06,26963.02125075896,452,244,53.98230088495575,15.586206896551724,10
28,10360,25648.0,1351.0,84.06385762709178,611.5833240028219,13.75,35654.42804428044,152,74,48.68421052631579,11.250925240562546,10
29,10370,19034.0,2734.0,182.09213928857463,946.4896223983664,19.24,22218.879248011566,535,235,43.92523364485981,19.568397951719085,10
30,10380,20586.0,1584.0,93.90499118402776,695.8812188558873,13.49,24288.91156462585,202,76,37.623762376237615,12.75252525252525,10
31,10390,21587.0,2990.0,122.692494398284,1412.2531731136166,8.69,30076.11790668348,330,178,53.93939393939394,11.036789297658864,10
32,10400,20969.0,14386.0,996.1431986933453,6632.533516624964,15.02,25133.23548754269,2697,1272,47.1635150166852,18.747393299040734,10
33,10410,23729.0,4862.0,183.53588240268382,2137.59886457421,8.59,29756.445450964948,478,263,55.020920502092046,9.831345125462773,10
34,10420,16987.0,3244.0,322.0,1333.0,24.16,18773.505630026808,818,422,51.58924205378973,25.21578298397041,10
35,10430,22365.0,3962.0,197.15066881200772,1763.4973297447907,11.18,30610.942144373672,451,236,52.32815964523282,11.383139828369513,10
36,10440,23809.0,4150.0,168.07074980963472,1777.1284102616164,9.46,33207.16623036649,517,309,59.767891682785304,12.457831325301207,10
37,10450,20856.0,2716.0,172.92231236772102,1242.4898104667,13.92,26894.24475997296,534,269,50.37453183520599,19.661266568483068,10
38,10500,20007.0,8375.0,542.5512291728088,3583.0950594778883,15.14,21684.209080503617,1214,568,46.78747940691928,14.4955223880597,10
39,10510,20159.0,2848.0,196.0677732290453,1308.654398196905,14.98,25561.79974811083,376,214,56.914893617021285,13.202247191011233,10
40,10600,20578.0,17497.0,1703.5539495926869,7353.275854510342,23.17,19592.79986400725,4533,2111,46.569600705934256,25.907298394010404,10
